Laeops pectoralis	X													X											X																																																																																																																				X																														X																																													X																																																	X								Western Indian Ocean:  Kenya, Mozambique and South Africa.
Laeops sinusarabici			X																												X																																																																																																																																																																															X																																																											X								Western Indian Ocean:  Red Sea endemic.
Laeops tungkongensis			X												X																																																																																																																																																																																																																					X																																									X				Western Central Pacific:  South China Sea.
Lepidoblepharon ophthalmolepis			X			X				X					X									X																						X																									X																																																											X								X																																																					X																																					X																																									X			X	Western Pacific:  Japan to the Kei Islands, Arafura Sea (Indonesia).
Lepidopsetta bilineata			X	X	X										X	X				X														X																												X																																																																												X							X	X																																																							X																																														X																				X	X	X				North Pacific:  Baja California to the eastern Aleutian Islands and extreme southeastern Bering Sea.
Lepidopsetta mochigarei			X	X											X	X																																																																																																																										X							X	X																																																							X																																																																				X				Northwest Pacific:  Korean Peninsula to the southern Sea of Okhotsk.
Lepidopsetta polyxystra			X		X										X					X														X																												X																																																																												X									X																																																																																																				X																					X	X				North Pacific:  Puget Sound, Washington (USA) through the Bering Sea and Aleutian Islands to the Kuril Islands; overlapping with <i>L. bilineata</i> from the extreme SE Bering Sea to Puget Sound; and with <i>L. mochigarei</i> in the southern Sea of Okhotsk.
Lepidorhombus boscii	X		X	X															X		X							X			X	X				X																																																											X									X									X	X																			X			X																																		X																								X																							X										X										X	X		X																	X	X								X							Northeast Atlantic:  British Isles south to Cape Bojador, West Sahara and the Mediterranean.
Lepidorhombus whiffiagonis	X		X	X															X		X							X			X	X			X	X																				X																											X					X																X							X		X	X														X					X	X		X																																		X					X								X											X														X				X					X									X	X										X	X		X																	X	X								X							Northeast Atlantic:  Iceland southward to Cape Bojador (26°N), West Sahara and in the western Mediterranean.
Liachirus melanospilos			X			X				X					X									X		X																				X														X											X																																																								X		X	X								X																			X																																		X																																					X		X																																		X	X				X			X	Indo-West Pacific:  Laccadives, Singapore, Indonesia, Philippines, China, Taiwan and Japan.
Liachirus whitleyi						X				X																																				X																																																																																																																																																																																																																																		X	Western Central Pacific:  Queensland, Australia.
Limanda aspera			X	X	X										X	X				X														X																												X																																																																												X							X	X																																																							X																																																						X													X	X				North Pacific:  Korea and the Sea of Japan to the Sea of Okhotsk, Bering Sea, and Barkley Sound, Canada.  Reported from the Alaskan Beaufort Sea (Ref. 28503).
Limanda limanda				X												X					X							X				X																				X																																				X											X	X			X	X							X																	X					X	X															X				X																						X								X										X								X																X									X														X																		X															Northeast Atlantic:  Bay of Biscay to Iceland and Norway; Barents and White seas; also Baltic Sea.
Limanda sakhalinensis				X												X																																																																																																																																																																																									X																																																																				X				Northwest Pacific.
Liopsetta glacialis				X	X											X				X	X													X																												X																																																																																																																									X																		X																																														X								X			X	X									X	X				Northeast Atlantic and Arctic:  White Sea and Barents Sea eastward along the coasts of Siberia and North America to Queen Maud Gulf in Arctic Canada.  North Pacific:  Chukchi and Bering seas to Bristol Bay, Alaska and the northern Sea of Okhotsk.
Liopsetta pinnifasciata			X	X											X	X																																																																																																																										X									X																																																						X																																																																				X				Northwest Pacific:  Japan, Kuril Islands, Russia.
Lophonectes gallus						X				X																																				X																																																																																																	X																																		X																																																																																							X							X	X	Western Pacific:  eastern Australia (ranging south to South Australia and Tasmania, Ref. 9563) and New Zealand.
Lophonectes mongonuiensis						X				X																																																																																																																																																																							X																																																																																														X		Southwest Pacific:  New Zealand.
Lyopsetta exilis					X								X							X														X																												X																																																																																																						X																																																																																			X																				X	X					Eastern Pacific:  Alsek Canyon, southeastern Alaska to Isla Cedros, central Baja California, Mexico.
Mancopsetta maculata		X					X	X	X														X				X		X												X		X																											X														X																	X																								X																	X																																																					X								X																																											X										X					X		X							X			Southern Ocean, South Atlantic, and South Indian Ocean.  Argentine shelf/slope from 37°S to the Falklands and Burdwood Bank.  Also Kotlyar; Crozet Islands and Prince Edward Island (Ref. 5000).  Recorded from Chile (Ref. 27363).
Marleyella bicolorata	X		X											X											X	X																																																																																																							X																																										X																																													X													X																																				X								Western Indian Ocean:  Natal, South Africa to India.
Marleyella maldivensis			X																							X																																																																																																																																				X																																																																																																											X								Western Indian Ocean:  Maldives.
Microchirus azevia	X		X	X															X									X		X	X	X				X																																																																																																																																																														X													X										X																					X		X																	X	X								X							Eastern Atlantic:  Portugal southward to Senegal; a single record from southwest of the British Isles.  Mediterranean:  Spain, Algeria and Turkey.
Microchirus boscanion	X			X								X							X											X		X							X															X							X																	X	X			X															X										X		X			X	X							X	X													X																	X											X								X									X																												X			X																						X																					X				X	X		X													Eastern Atlantic:  north of Gibraltar to northern Angola (Ref. 5304).  Reported from the Mediterranean Sea (Ref. 45594).
Microchirus frechkopi	X											X																		X									X																									X																		X																									X					X								X	X																																																																																						X			X																																															X			X													Eastern Atlantic:  Senegal to the Gulf of Guinea.
Microchirus ocellatus	X		X	X								X							X						X			X		X	X	X			X	X																																															X												X									X			X							X						X																X																X				X			X			X								X																																						X		X		X				X	X										X										X	X																			X								X	X							Eastern Central Atlantic:  Madeira Island (Ref. 74541), Canary Islands, Senegal, Ghana, Guinea Bissau, Sierra Leone; northward to southwest of Iberian Peninsula, Mediterranean.  Western Indian Ocean:  Natal, South Africa (Ref. 3200).
Microchirus theophila	X			X																								X		X		X																															X																																														X																																																					X																																X													X																																	X																	X	X															Eastern Central Atlantic:  Mauritania and Canary Islands (Santa Cruz and Tenerife); extending into the northeast Atlantic from Portugal and southwest of Great Britain.
Microchirus variegatus	X		X	X															X		X							X		X	X	X			X	X																				X																											X												X									X										X																			X	X		X														X		X				X			X			X					X																											X													X	X				X					X																				X	X		X													X				X	X								X							Northeast Atlantic:  British Isles south to Senegal (baie du Lévrier) and the Mediterranean.
Microchirus wittei	X											X																		X									X																																											X																														X								X	X																																									X																																													X																																																		X			X													Eastern Atlantic:  Senegal to Ghana (Ref. 5304).  Reported from Mauritania (Ref. 55783).
Microstomus achne			X	X											X	X																																																							X																																																																			X							X	X	X																																																						X																																																																				X				Northwest Pacific:  central Japan northward, southern Kuril Islands, Sakhalin, Sea of Japan, the Yellow Sea, Gulf of Bo Hai and East China Sea.
Microstomus kitt				X	X											X				X	X							X				X																				X																																				X												X				X							X				X													X					X	X																																									X								X										X								X																X									X														X																		X	X														Northeast Atlantic:  Bay of Biscay to the White Sea and off Iceland.
Microstomus pacificus				X	X								X			X				X														X																												X																																																																																																						X																																					X																																														X																				X	X	X				Eastern Pacific:  Navarin Canyon in the Bering Sea to Stalemate Bank in the Aleutian Islands and San Cristobal Bay, Baja California, Mexico.
Monochirus atlanticus	X			X								X							X									X		X																																																				X																									X		X			X								X	X																														X											X								X																								X											X		X			X																																											X				X	X															Eastern Atlantic: Portugal to Ghana.
Monochirus hispidus	X		X	X															X									X		X	X	X			X	X																				X							X	X																			X																					X										X																						X																X							X								X	X		X																																						X				X					X																				X	X																			X	X								X							Mediterranean Sea.
Monochirus trichodactylus			X												X									X																																															X																																																											X																																																																																																																																											X			X	Western Pacific:  South China Sea.
Monolene antillarum					X						X									X																																										X																																																																																																																																																																													X												X												X			X											Western Atlantic:  Canada (Ref. 5951) to Georges Bank to Florida, USA and northern Gulf of Mexico.  Reported from the northern coast of South America (Ref. 5217).
Monolene asaedae					X								X																																																																				X															X																							X							X																																						X														X										X																																																																															X						Eastern Central Pacific:  Mexico to Panama.
Monolene atrimana					X						X																																								X																																																																																																																																																																																																																			X											Western Central Atlantic.
Monolene danae					X								X																																																																																																																																																																															X																																																																															X						Eastern Pacific.
Monolene dubiosa					X								X																																																																																																																																																							X																																																																																																							X						Eastern Central Pacific:  known only from near Acapulco, Mexico.
Monolene maculipinna					X		X						X										X																																																					X					X													X																																																																																				X										X		X																																																																													X			X			Eastern Central Pacific:  Costa Rica to Peru.  Also reported in Nicaragua (Ref. 13613).
Monolene megalepis					X						X																																																																																																																																																																																									X																																																																		X											Western Atlantic.
Monolene mertensae	X											X																		X									X																																							X	X																												X														X																																																																																																																																								X			X													Eastern Atlantic:  Gulf of Guinea to Penrith, Angola.
Monolene microstoma	X											X													X					X									X																																																																																	X	X																																																				X																																					X																																															X			X													Eastern Atlantic:  Senegal and Gulf of Guinea to Namibia (Ref. 27121).
Monolene sessilicauda					X		X				X									X			X																					X													X					X														X										X																			X																	X																																																																																																						X											X												X		X										X		X	X											Western Atlantic:  Canada (Ref. 5951) to Georges Bank and northern Gulf of Mexico to northern Brazil.
Myzopsetta ferruginea					X															X																																										X																																																																																																																																																																																									X												X														Northwest Atlantic:  southern Labrador, Canada to Chesapeake Bay, USA.
Myzopsetta proboscidea			X	X	X										X	X				X														X																												X																																																																												X									X																																																						X																																																						X													X	X				North Pacific:  Sea of Okhotsk, Kuril Islands, Kamchatka Peninsula in Russia and Bering Sea.  Arctic Canada.
Myzopsetta punctatissima			X	X											X	X																																																																																																																										X							X	X	X																																																						X																																																																				X				Northwest Pacific:  southern Sea of Okhotsk and Kuril Islands to northern Sea of Japan including Japan and Korean Peninsula.
Nematops grandisquama			X																					X																																																																																																										X																																																																																																																																														X	Indo-West Pacific:  Bali, Indonesia; probably southwest coast of India.
Nematops macrochirus			X			X				X														X																						X																																																																																				X																																																													X																																																																																X	X	Indo-West Pacific:  Bali Strait and northern part of New South Wales (Ref. 9792).  Record of occurrence from St. Helena Island is considered to be erroneous (Ref. 51668).
Nematops microstoma						X				X							X																X																																																																																																																																																												X																																																																																			X	Southwest Pacific:  known only from Nares Harbor, Admiralty Islands.
Nematops nanosquama						X																X																																																																																				X																																																																																																																																																																	X						Central Pacific:  Marquesas Is.
Neoachiropsetta milfordi	X					X	X	X		X													X		X		X		X														X																											X														X																	X																																									X																																			X																		X																					X																														X														X	X		X							X	X		Southwest Pacific:  southern New Zealand.  Southeast Pacific:  off southern Chile.  Southwest Atlantic:  Argentina, the Falkland Islands (Ref. 4417) and the Burdwood Bank.  Southeast Atlantic:  Discovery Seamount, off Cape Town (South Africa).  Antarctic Indian Ocean:  Prince Edward and the Crozet Islands.
Neolaeops microphthalmus	X		X			X				X					X		X							X	X																					X																									X																																																											X								X																																						X															X																									X												X																																				X	X				X			X	Indo-West Pacific:  southern Japan, Taiwan, Indo-Australian Archipelago and Natal, South Africa (based on one specimen).
Oncopterus darwinii							X																X																				X														X																																																																																																																																																																																													X															X												Southwest Atlantic:  Santa Catarina, Brazil to Golfo de Sán Matías, Argentina.
Parabothus amaokai							X																X																																															X																																																																																																																																																																																																								X			Southeast Pacific:  Sala y Gomez and Nazca Submarine ridges.
Parabothus chlorospilus						X																X																																																																																																						X																																																																																																																																															X						Eastern Central Pacific:  Hawaii.
Parabothus coarctatus			X			X				X					X		X					X																																																	X																																																					X														X																																						X					X																																																																																						X		X		X	X	Pacific Ocean:  New Caledonia, southern Japan, and the Hawaiian Islands (Ref. 9824); including the Norfolk Ridge and Isle of Matthew (Ref. 28982).
Parabothus filipes						X											X																																																																																																																																																															X																																																																																																X	Western Pacific:  Nova Bank, the Coral Sea.
Parabothus kiensis			X			X				X					X		X							X																						X																																																																																				X								X								X																														X																																																																																								X					X			X	Indo-West Pacific:  southern Japan (Ref. 559), southern Indonesia to northwest Australia, and New Caledonia.
Parabothus polylepis			X																							X																																																																																																																																																																																																X																																														X									Western Indian Ocean:  Sri Lanka.
Parabothus taiwanensis			X												X																																																																																																																																																																																																																					X																																									X				Northwest Pacific:  Taiwan.
Paradicula setifer						X				X																																				X																																																																																																																																																																																																																																		X	Western Central Pacific.
Paralichthodes algoensis	X													X											X																																																																																																																																																		X																																													X																																												X					X								Western Indian Ocean and Southeast Atlantic:  known only from Delagoa Bay, Mozambique to Mossel Bay, South Africa.
Paralichthys adspersus							X																X																																															X																								X																																														X																																																		X																																																																																X			Eastern Pacific:  Ecuador to Chile.
Paralichthys aestuarius					X								X																																																																																																																																																							X																																																																																																							X						Eastern Central Pacific:  Baja California, Mexico and the Gulf of California.
Paralichthys albigutta					X		X				X		X							X			X																									X																												X																																																																																								X																																																																							X												X												X			X											Western Atlantic:  North Carolina to southern Florida, USA, northern Bahamas, Gulf of Mexico and western Caribbean to Colombia.
Paralichthys brasiliensis							X																X				X																														X																																												X																																																																																																																																																	X															X												Southwest Atlantic:  Brazil.  Does not occur in Argentina nor in Uruguay (Ref. 43588).
Paralichthys californicus					X								X							X																																																																																																																																																X																																																																																			X																				X	X					Eastern Pacific:  Quillayute River in northern Washington, USA to southern Baja California, Mexico.  Also in northern Gulf of California (Ref. 9330).
Paralichthys delfini							X																X																																															X																																																																																																																																																																																																								X			Southeast Pacific:  Chile (Ref. 9068).
Paralichthys dentatus					X															X																																										X																																																																																																																																																																																									X												X			X											Northwest Atlantic:  Maine (rarely Nova Scotia, Canada) to southern Florida, USA.
Paralichthys fernandezianus							X																X																																															X																			X																																																			X																																																																																																																																		X			Southeast Pacific:  Desventuradas Is. and Juan Fernández Is.
Paralichthys isosceles							X																X																				X														X																																																																																																																																																																																													X															X												Southwest Atlantic:  Brazil to Argentina.
Paralichthys lethostigma					X						X									X																																																																																																																																																																																																																							X												X												X			X											Western Atlantic:  North Carolina to Texas in USA, but absent from southern Florida.
Paralichthys microps							X																X																																															X																																																																																																																																																																																																								X			Southeast Pacific:  Chile.
Paralichthys olivaceus			X												X									X																																															X																																																								X											X								X	X																																												X																																					X																						X																			X			X	Western Pacific:  Japan, Sakhalin, Kuril Islands, Korean Peninsula to the South China Sea.
Paralichthys orbignyanus							X																X																				X														X																																																																																																																																																																																													X															X												Southwest Atlantic:  Rio de Janeiro, Brazil to at least Mar de la Plata, Argentina.
Paralichthys patagonicus							X																X																				X														X													X																																																																																																																																																																																X															X									X			Southeast Pacific:  Chile (Ref. 9068).  Southwest Atlantic:  Rio de Janeiro, Brazil to Patagonia, Argentina (Ref. 36453).
Paralichthys squamilentus					X						X		X							X																																																																	X																																																																															X																																																																																			X												X			X											Western Atlantic:  North Carolina to Florida in USA and the entire Gulf of Mexico.
Paralichthys triocellatus							X																X																																		X																																																																																																																																																																																																												X												Southwest Atlantic:  Rio de Janeiro, Brazil to Uruguay.
Paralichthys tropicus					X		X				X												X																					X																																X										X																																				X																																																																																																						X											X														X													X											Western Central Atlantic:  Colombia and Venezuela to Trinidad and Tobago.  Reported to range south to Suriname (Ref. 13608).
Paralichthys woolmani					X		X						X										X																																																					X					X													X		X												X											X							X																																						X														X										X		X																																																																													X			X			Eastern Pacific:  Mexico to Peru, including the Galapagos Islands.
Paraplagusia bilineata	X		X			X				X				X	X									X	X	X					X							X								X				X																					X																																																								X		X	X								X	X		X														X		X						X								X																		X		X											X							X						X	X		X										X	X	X																				X														X	X				X			X	Indo-Pacific:  Red Sea and east coast of Africa to the Philippines, north to southern Japan, south to New Guinea and northeastern Australia.
Paraplagusia blochii			X			X				X					X									X		X					X																																																																																																X		X	X								X																																															X				X		X																																					X		X																																		X	X				X			X	Indo-West Pacific:  southern Oman to Papua New Guinea (Ref. 6771), north to Taiwan (Ref. 5193) and Japan (Ref. 559).
Paraplagusia guttata			X			X				X					X																															X																									X																																																																																																																																																													X																																									X			X	Western Pacific:  China (Ref. 33837) to Australia (Ref. 40966).
Paraplagusia japonica			X			X				X					X									X																																															X																																																								X											X							X	X																																											X																																							X																																									X			X	Western Pacific:  Japan and Korea to Taiwan (Ref. 559) and Papua New Guinea (Ref. 6771).
Paraplagusia longirostris						X				X																																				X																																																																																																																																															X																																																																											X								X	Indo-West Pacific:  northern Australia and southern coast of Papua New Guinea.
Paraplagusia sinerama						X				X																																				X																																																																																																																																															X																																																																											X								X	Western Pacific:  northern Australia (including Joseph Bonaparte Gulf, Western Australia) and southern coast of Papua New Guinea.
Pardachirus balius			X																												X																																																																																																																																																										X																																																																																X								Western Indian Ocean:  Arabian Sea off southern Oman and the outer Gulf of Oman.
Pardachirus hedleyi						X				X																																				X																																																																																																																																																																																																																																	X	X	Southwest Pacific:   southern Queensland to southern New South Wales, Australia.
Pardachirus marmoratus	X		X											X					X					X	X	X				X	X							X											X																																														X			X																															X		X	X							X		X							X							X								X								X														X	X											X	X								X			X				X		X	X		X					X						X																X									X										X	X								Western Indian Ocean:  Red Sea and Persian Gulf to Durban, South Africa and Sri Lanka (Ref. 30573).
Pardachirus morrowi	X													X											X																																																																																																																				X																														X																																						X							X													X																																				X								Western Indian Ocean:  Kenya to Sodwana Bay, South Africa.
Pardachirus pavoninus			X			X				X					X		X	X				X		X		X												X								X														X											X																															X																											X	X								X																			X	X																		X											X		X		X											X		X														X										X		X			X															X		X														X	X		X		X			X	Indo-Pacific:  Sri Lanka east to Samoa and Tonga (Ref. 2334), north to Japan (Ref. 559), south to Onslow, Australia.
Parophrys vetulus				X	X								X			X				X														X																												X																																																																																																						X																																					X																																														X																				X	X	X				Eastern Pacific:  from Russia to Agattu Island, north to Nunivak Island, Alaska, then South to Mexico, Baja California, Mexico.
Pegusa cadenati	X																													X																																		X																																																																																																																																																																																																	X																Eastern Atlantic:  Known only from Cape Verde.  Reported from the Gulf of Guinea (Ref. 2683).
Pegusa impar	X		X	X															X									X			X	X				X																																																											X									X																																X														X									X											X																																										X					X																																				X				X									X							Eastern Atlantic:  Mediterranean Sea and from Gibraltar southward to Senegal.
Pegusa lascaris	X		X	X			X					X				X			X				X					X		X	X	X			X	X			X																	X			X				X																				X				X								X									X						X		X		X						X	X													X		X																				X						X								X					X																			X						X							X	X				X					X										X					X						X		X			X	X		X											X	X		X	X					X							Eastern Atlantic:  northeastern to southeastern Atlantic; perhaps Gulf of Guinea; the Mediterranean Sea and Black Sea; reported from Suez Canal (Ref. 32649); and Sea of Azov (Ref. 4710).
Pegusa nasuta	X		X	X												X			X									X			X				X	X																																																																														X																						X																																																																X																	X																					X																												X							Northern Mediterranean Sea, Black Sea, Sea of Azov.
Pegusa triophthalma	X																													X																								X																												X																											X			X								X	X																														X											X																	X																												X			X																																															X																Eastern Central Atlantic: Mauritania to Gulf of Guinea (Ref. 5304, 57416); not in the south of Cape Lopez and not in the north of Rio de Oro (Ref. 5304).
Pelotretis flavilatus						X				X																																																																																																																																																																							X																																																																																														X		Southwest Pacific:  restricted to New Zealand (Ref. 9258).
Peltorhamphus kryptostomus						X				X																																																																																																																																																																							X																																																																																														X		Southwest Pacific: New Zealand.
Peltorhamphus latus						X				X																																																																																																																																																																							X				X																																																																																										X		Southwest Pacific:  Norfolk Island (Ref. 8879) and New Zealand.
Peltorhamphus novaezeelandiae						X				X																																																																																																																																																																							X																																																																																														X		Southwest Pacific:  New Zealand.
Peltorhamphus tenuis						X				X																																																																																																																																																																							X																																																																																														X		Southwest Pacific:  New Zealand.
Perissias taeniopterus					X								X																																																																				X															X																							X							X																																						X														X										X																																																																															X						Eastern Central Pacific:  Mexico to Panama.
Phyllichthys punctatus			X			X				X														X																						X																																																																																				X																																																																																																																																						X								X	Eastern Indian Ocean:  northwestern Australia.
Phyllichthys sclerolepis						X				X																																				X																																																																																																																																																																																																																																		X	Western Central Pacific.
Phyllichthys sejunctus						X				X																																				X																																																																																																																																																																																																																																		X	Western Central Pacific.
Plagiopsetta glossa			X			X				X					X		X							X																						X																									X																																																								X											X																																						X															X																																					X																																									X		X	X	Western Pacific:  Japan and Taiwan to New South Wales, Australia.
Plagiopsetta gracilis						X											X																																																																																																																																																															X																																																																																																X	Western Pacific:  New Caledonia.
Plagiopsetta stigmosa						X											X																																																																																																																																																															X																																																																																																X	Nova Bank, Chesterfield Plateau, Argo Bank and Capel Bank.
Platichthys bicoloratus			X												X																																																								X																																																																			X							X	X	X																																																																																	X																																									X				Northwest Pacific:  Japan and its adjacent freshwaters, the Kuril Islands, Sakhalin, Korean Peninsula, northern China and Taiwan.
Platichthys flesus	X		X	X												X			X		X							X			X	X			X	X																X				X			X																								X					X							X				X				X	X							X		X	X																			X	X	X	X													X	X		X	X															X		X					X								X										X	X						X	X											X					X									X	X										X	X		X	X			X											X		X	X								X							Eastern Atlantic:  coastal and brackish waters of western Europe and from the White Sea to the Mediterranean and the Black Sea (Ref. 4705, Ref. 51442).  Introduced into the USA and Canada accidentally through transport in ballast water (Ref. 1739).  Asia:  Iran (Ref. 39702).
Platichthys solemdali				X																	X																																																																																		X																																																																																																																											X																																X															Northeast Atlantic: endemic to the Baltic Sea.
Platichthys stellatus			X	X	X										X	X				X														X																												X									X																																																																			X							X	X	X																																																						X																																														X								X												X	X	X				North Pacific:  Korea and southern Japan through the Bering Strait and Arctic Alaska (Ref. 2850) to the Coronation Gulf, Northwest Territories, Canada and Santa Barbara, southern California, USA.
