Arnoglossus aspilos			X			X				X					X									X		X					X															X			X											X																																																																					X	X																		X																																											X						X									X																						X		X															X																			X	X				X			X	Indo-West Pacific:  Persian Gulf to the coast of India; north to Taiwan through the South China Sea, south to Queensland.  Specimens from northern and Western Australia often treated as distinct subspecies (Ref. 9824).
Arnoglossus bassensis						X				X																																				X																																																																																																																																																																																																																										X							X		Indo-West Pacific:  known only from southern Australia.
Arnoglossus boops						X				X																																																																																																																																																																							X																																																																																														X		Southwest Pacific:  New Zealand.
Arnoglossus brunneus			X																					X																																																																																																																																																																							X																																																																																	X	Western Central Pacific:  known only from the east coast of Luzon, Philippines.
Arnoglossus capensis	X											X													X		X			X									X						X									X							X																	X	X			X															X										X		X			X								X	X																														X											X											X						X																												X			X						X			X													X																									X			X					X								Eastern Atlantic:  Mauritania round the Cape to Natal, South Africa.
Arnoglossus coeruleosticta							X																X																																															X																			X																																																			X																																																																																																																																		X			Southeast Pacific:  Desventuradas Is. and Juan Fernández Is.
Arnoglossus dalgleishi	X		X			X								X			X							X	X																																																																																																									X											X																														X					X																																								X													X																																			X	X							X	Indo-Pacific:  Natal (South Africa), Zanzibar (Tanzania), Mombasa (Kenya) and northeastern Indian Ocean, as well as Mozambique.  Known also from the south coast of Java (Ref. 9824).
Arnoglossus debilis			X			X												X				X		X																																										X																																																										X						X														X																																																																																																																											X					X	Pacific Ocean:  Hawaiian Islands, Line Islands and off the south coast of Lombok, Indonesia (Ref. 9824).  New record from the northeastern Indian Ocean region.
Arnoglossus elongatus			X			X				X														X																						X																																																																																				X																																																													X																																																																									X								X	Western Pacific:  Indonesia, Philippines, northwest Australia, and possibly Taiwan.
Arnoglossus fisoni						X				X																																				X																																																																																																																																																																																																																																	X	X	Western Pacific:  Australia, from southern Queensland to Sydney.  Unconfirmed report from the Bismarck Archipelago.
Arnoglossus grohmanni			X	X																								X			X																																																																																																									X																																																																																																						X																												X							Mediterranean Sea.
Arnoglossus imperialis	X		X	X								X							X		X				X			X		X	X	X				X			X								X							X							X																	X	X			X															X							X			X		X			X	X							X	X												X			X															X					X			X			X					X			X			X						X															X													X			X							X															X					X	X		X	X		X										X				X	X		X						X							Eastern Atlantic:  Scotland to Namibia (Ref. 27121), including the western Mediterranean.
Arnoglossus japonicus			X			X				X					X		X							X																						X																									X																																																								X											X								X																														X																																																				X																						X														X					X			X	Indo-West Pacific:  southern Japan to the South China Sea.  Also recorded from northwestern Australia (Ref. 5978) and New Caledonia (Ref. 9824).
Arnoglossus kessleri	X		X	X												X			X									X			X	X			X																					X			X																								X				X								X									X						X				X																					X	X														X		X							X								X																																	X	X							X				X					X										X										X	X						X																						X							Mediterranean and Black Sea.
Arnoglossus laterna	X		X	X								X							X		X							X		X	X	X			X	X			X													X		X		X					X								X									X	X			X	X				X	X							X		X							X			X		X		X	X	X	X						X	X												X	X	X	X														X	X	X				X			X			X					X			X					X				X				X											X													X	X		X		X					X									X	X					X					X	X		X	X	X	X										X				X	X		X						X							Eastern Atlantic:  Norway to Angola.  Also known from the Mediterranean and Black Sea.
Arnoglossus macrolophus			X			X				X					X		X							X		X					X															X																									X																																																											X								X																			X																			X									X				X		X															X												X										X		X																																		X	X				X			X	Indo-West Pacific:  Persian Gulf and Red Sea, through the northern Indian Ocean to the South China Sea, north to southern Japan and south to the Indo-Australian Archipelago and New Caledonia.  Report from Madagascar needs confirmation.
Arnoglossus micrommatus						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean:  Western Australia.
Arnoglossus muelleri						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean:  southern Australia, from southern Western Australia to Victoria and Tasmania.
Arnoglossus multirastris							X																X																																															X																																																																																																																																																																																																								X			Southeast Pacific:  Chile.
Arnoglossus nigrifrons						X											X																																																																																																																																																															X																																																																																																X	Western Central Pacific:  Chesterfield Plateau.
Arnoglossus oxyrhynchus			X			X									X		X																																																																																																																									X																																						X																																																																																													X			X	Western Pacific:  Japan.  Recently reported from the Chesterfield Islands (Ref. 11897).  Possibly a synonym of <i>Arnoglossus brunneus</i>.
Arnoglossus polyspilus			X			X				X					X		X							X																						X																									X																																																											X								X																																						X															X																																					X																																				X					X			X	Eastern Indian Ocean and Western Pacific:  Bay of Bengal to southern Japan, Taiwan, New Caledonia, and several areas of the Indo-Australian Archipelago (Ref. 9824).
Arnoglossus rueppelii	X		X	X															X									X		X	X	X			X	X																				X							X																				X																					X									X	X																					X	X																															X			X																																						X				X					X																				X	X															X				X	X								X							Eastern Atlantic:  west Gibraltar to Cape Bojador (West Sahara) and Canary Islands including western Mediterranean and Morocco.
Arnoglossus scapha			X			X				X					X																																																								X																																																																																																										X																																																																																												X		X		Western Pacific:  China (Ref. 33837) and New Zealand (Ref. 27073).
Arnoglossus septemventralis						X											X																																																																																																																																																															X																																																																																																X	Western Central Pacific:  off southern New Caledonia.
Arnoglossus tapeinosoma			X												X									X		X					X							X											X																						X																																																								X		X	X									X									X																																					X												X									X																						X		X															X																			X	X				X				Indo-West Pacific:  Persian Gulf and Gulf of Oman to Sumatra (Indonesia) and China.
Arnoglossus tenuis			X			X				X					X		X							X																						X																									X																																																								X											X																																						X																																																				X																						X																			X			X	Western Pacific:  southern Japan to the South China Sea,  Queensland, and New Caledonia
Arnoglossus thori	X		X	X															X		X							X		X	X	X			X	X																				X								X																			X				X																	X					X				X	X						X	X												X		X	X														X		X										X					X			X																								X													X	X		X		X					X										X										X	X		X													X				X	X								X							Eastern Atlantic:  Ireland (Ref. 4704) to Sierra Leone and Cape Verde.  Also known from the western Mediterranean and Black Sea.
Arnoglossus waitei						X				X																																				X																																																																																																																																																																																																																										X								X	Indo-West Pacific:  Arafura Sea and southern Queensland, Australia.
Aseraggodes albidus			X																					X																																																																																																										X																																																																																																																																														X	Western Pacific:  Sulawesi, Indonesia.
Aseraggodes andersoni			X																							X																																																																																																																																				X																																																																																																											X								Western Indian Ocean: Maldives only but expected to occur in other tropical countries in the area.
Aseraggodes auroculus						X																X																																																																																				X																																																																																																																																																																	X						Eastern Central Pacific:  Society Islands.
Aseraggodes bahamondei						X	X			X												X	X																							X																																											X				X																																																		X											X																							X				X																																																																																									X	X		South Pacific:  In the southern subtropical zone, from Australia to Desventuradas Is., incl. Lord Howe I., Norfolk I., Easter I. (Ref. 10634, Ref. 89357).
Aseraggodes beauforti			X																					X																																																																																																										X																																																																																																																																														X	Western Pacific:  Timor Sea, Indonesia.
Aseraggodes borehami						X																X																																																																																																						X																																																																																																																																															X						Eastern Central Pacific:  Hawaiian Islands.
Aseraggodes brevirostris	X													X																																																															X																																																																																																																																																																																												X								Western Indian Ocean:  Comoro Islands.
Aseraggodes chapleaui			X			X				X														X																																																																																																										X																																																											X																																																																																			X	Western Pacific:  Papua New Guinea.
Aseraggodes cheni			X												X																																																																																																																											X																																																																																										X																																									X				Northwest Pacific: Taiwan and Japan
Aseraggodes corymbus						X				X																																				X																																																																																																																																																																																																																																		X	Western Pacific:  Australia.
Aseraggodes crypticus			X																					X																																																X																																																																																																																																																																																																X									Eastern Indian Ocean:  Christmas Island.
Aseraggodes cyaneus			X																					X																																																																																																										X																																																													X																																																																																	X	Western Pacific:  Indonesia.  Also occurs in Western Indian Ocean (Ref. 3505).
Aseraggodes cyclurus						X											X					X																																																																																X				X																																																																																																																																																																	X					X	Eastern Central Pacific:  Tahiti. Western Central Pacific:  Fiji to French Polynesia.
Aseraggodes diringeri	X		X											X											X	X																																										X									X																																																																X																						X																																			X											X							X																																																	X								Western Indian Ocean:  Kenya to Chagos Archipelago, south to KwaZulu-Natal.
Aseraggodes dubius			X			X				X														X																						X																																																																																				X																																																													X																																							X																																		X								X	Western Central Pacific:  Java Sea and Bali, Indonesia.  Also from the Philippines (Ref. 280).
Aseraggodes filiger			X			X				X														X																																																																																																										X																																																											X		X																																							X																																										X	Western Pacific:  Java Sea, off Pekalongan (Indonesia) (Ref. 4900) and the Philippines (Ref. 9494).
Aseraggodes firmisquamis						X												X																																																																																																																																																																									X																																																																																					X	Western Pacific:  Palau.
Aseraggodes guttulatus	X													X																																																																																																																																																					X																																			X																																																																			X								Indo-West Pacific:  Maldives and Reunion to the South China Sea.
Aseraggodes haackeanus						X				X																																				X																																																																																																																																																																																																																										X									Eastern Indian Ocean:  southern Australia.
Aseraggodes heemstrai	X																								X																																																																																																																																																																																															X																																																	X								Western Indian Ocean:  South Africa.
Aseraggodes heraldi						X												X																																																																																																																																														X																																																																																																																X	Western Pacific:  Marshall Islands.
Aseraggodes herrei							X																X																																																			X																																		X																																																																																																																																																															X			X			Eastern Pacific:  Cocos and Galapagos Islands.
Aseraggodes holcomi						X																X																																																																																																						X																																																																																																																																															X						Eastern Central Pacific:  currently known only from the island of O'ahu.
Aseraggodes jenny	X													X																																																																																																																																																					X																																																																																																						X								Western Indian Ocean:  Mauritius.
Aseraggodes kaianus			X												X									X																																															X																																																											X								X																																																					X																																					X																																									X			X	Western Pacific:  southern Japan (Ref. 559), China (Ref. 33837), Taiwan (Ref. 12711), the Philippines (Ref. 11148), and the Kei Islands (Kai Islands, southeast Moluccas, Indonesia).
Aseraggodes kimurai			X																					X																																																																																																																																																																							X																																																																																	X	Western Pacific:  Philippines.
Aseraggodes kobensis			X												X									X																																															X																																																								X											X							X	X																																																																																		X																																									X				Western Pacific:  Chiba and Niigata Prefectures in Japan to the South China Sea.
Aseraggodes kruppi	X		X											X																	X																																																																			X																																																																																																												X																																																											X								Western Indian Ocean:  Red Sea, Saudi Arabia and Eritrea.
Aseraggodes lateralis						X																X																																																																																				X																																																																																																																																																																	X						Eastern Central Pacific:  Marquesas Islands.
Aseraggodes lenisquamis						X				X																																				X																																																																																																																																																																																																																																	X		Southwestern Pacific:  New South Wales, Australia.
Aseraggodes longipinnis			X																					X																																																																																																										X																																																																																																																																														X	Western Pacific:  Indonesia.
Aseraggodes macronasus	X																		X																																																																												X																																																																																																																																																																										X								Western Indian Ocean:  Red Sea.
Aseraggodes magnoculus						X											X																																																																																																																																																															X																																																																																																X	Western Central Pacific:  New Caledonia.
Aseraggodes martine	X		X											X												X																																																																																																							X																																																																																X																																																								X								Western Indian Ocean:  India and Seychelles.
Aseraggodes matsuurai			X																					X																																																																																																										X																																																													X																																																																																	X	Western Pacific:  Indonesia nd the Philippines.
Aseraggodes melanostictus			X			X				X							X	X				X		X																						X																										X																																		X												X												X																														X																X						X							X																																																																											X			X					X	Pacific Ocean:  Christmas Island in the eastern Indian Ocean to the Society Islands.
Aseraggodes microlepidotus			X																					X																																																																																																										X																																																																																																																																														X	Western Central Pacific.
Aseraggodes nigrocirratus						X				X																																				X																																																																																																																																																																																																																																	X		Southwest Pacific:  New South Wales, Australia.
Aseraggodes normani						X				X																																				X																																																																																																																																																																																																																																		X	Western Central Pacific:  Australia.
Aseraggodes orientalis			X												X																																																																																																																											X																																																																																										X																																									X				Northwest Pacific: Taiwan and Japan
Aseraggodes pelvicus						X				X																																				X																																																																																																																																																																																																																																		X	North Central Pacific:  Queensland, Australia.
Aseraggodes ramsaii						X				X							X																													X																																																																																																												X																						X																																																																																															X	X	Southwest Pacific:  Lord Howe Island and New Caledonia.
Aseraggodes satapoomini			X																					X																																																																																																																																																																																																														X																																		X									Eastern Indian Ocean:  Thailand, Andaman Sea.
Aseraggodes senoui			X																					X																																																																																																																																					X																																																																																																																			X	Western Pacific:  Malaysia.
Aseraggodes sinusarabici	X													X																																																																												X																																																																																																																																																																															X								Western Indian Ocean:  Red Sea.
Aseraggodes steinitzi	X													X																																																																																				X																																																																																																																																																																							X								Western Indian Ocean:  Dahlak Archipelago, Red Sea.
Aseraggodes suzumotoi			X																					X																																																																																																										X																																																																																																					X																																									X	Western Pacific:  Indonesia.
Aseraggodes texturatus			X																					X																																																																																																										X																																																																																																																																														X	Western Central Pacific:  known from the type locality, Timor Sea, 10°27.9'S, 123°28.7'E (Ref. 46206).
Aseraggodes therese						X																X																																																																																																						X																																																																																																																																															X						Eastern Central Pacific:  Hawaiian Islands.
Aseraggodes whitakeri			X			X									X		X	X				X															X																																																																	X				X																																X						X																X					X											X																																																																																											X		X			X	Pacific Ocean:  Marshall Islands and Society Islands.
Aseraggodes winterbottomi			X																					X																																																																																																																																																																							X																																																																																	X	Western Pacific:  Philippines.
Aseraggodes xenicus	X		X			X								X	X							X			X	X																																										X																																						X																																X																																	X																																													X												X																																					X		X		X				Indo-West Pacific:  Sodwana Bay (South Africa), Porto Amelia (Mozambique) and Japan.
Aseraggodes zizette			X																					X																																																																																																										X																																																																																																																																														X	Western Pacific:  Indonesia.
